name,date,rows
"Abercorn, James Hamilton, Earl of",1712-1789.,0
"Abercrombie, Alexander",1675-1753.,0
"Abercrombie, John",1726-1806.,23
"Abercromby, Alexander Abercromby, Lord",1745-1795.,0
"Abercromby, Ralph, Sir",1734-1801.,1
"Aberdeen, George Gordon, Earl of",1722-1801.,0
"Adair, James Makittrick",1728-1802.,0
"Adair, Thomas",1749-1820.,0
"Adam, Alexander",1741-1809.,39
"Adam, John",1720-1792.,13
"Adam, Robert",1728-1792.,6
"Adam, William",1751-1839.,7
"Adamson, Patrick",1537-1592.,0
"Aitken, James",1752-1777.,7
"Aitken, Jane","1764-1832,",0
"Aitken, Robert","1735-1802,",2
"Aiton, William",1731-1793.,14
"Alesius, Alexander","1500-1565,",0
"Alexander, James",1691-1756.,10
"Alison, Archibald",1757-1839.,40
"Allan, David",1744-1796.,5
"Alston, Charles",1683-1760.,0
"Alves, Robert",1745-1794.,0
"Anderson, George",1676-1756.,26
"Anderson, James",1662-1728.,43
"Anderson, James",1739-1808.,43
"Anderson, John",1726-1796.,52
"Anderson, Robert",1750-1830.,33
"Anderson, Walter",1723-1800.,0
"Annandale, George Van den Bempdé, Marquis of",1720-1792.,0
"Anstruther, Alexander, Sir",1769-1819.,0
"Anstruther, John, Sir",1718-1799.,0
"Anstruther, John, Sir",1753-1811.,0
"Anstruther, Robert, Sir",1733-1818.,0
"Arbuthnot, John",1667-1735.,0
"Arbuthnott, John Arbuthnott, Viscount",1754-1800.,0
"Argyll, Archibald Campbell, Earl of",1629-1685.,0
"Argyll, John Campbell, Duke of",1680-1743.,0
"Armstrong, John",1709-1779.,7
"Arniston, Robert Dundas, Lord",1713-1787.,0
"Arnot, Hugo",1749-1786.,7
"Atholl, James Murray, Duke of",1690-1764.,0
"Atholl, John Murray, Duke of",1755-1830.,0
"Auchmuty, Robert",1687-1750.,0
"Aytoun, Robert, Sir",1570-1638.,0
"Baillie, Joanna",1762-1851.,3
"Baillie, Matthew",1761-1823.,0
"Baillie, Robert",1599-1662.,2
"Baine, James",1710-1790.,1
"Balcarres, James Lindsay, Earl of",1691-1768.,0
"Balfour, Alexander",1767-1829.,6
"Balfour, James",1705-1795.,10
"Balfour, James, Sir",1600-1657.,0
"Bankton, Andrew MacDowall, Lord",1685-1760.,0
"Barclay, Captain (Robert)",1779-1854.,0
"Barclay, John",1734-1798.,14
"Barclay, Robert",1648-1690.,1
"Barjarg, James Erskine, Lord",1723-1796.,0
"Barnard, Anne Lindsay, Lady",1750-1825.,0
"Batteux, Charles",1713-1780.,0
"Beatson, Robert",1742-1818.,0
"Beattie, James",1735-1803.,22
"Bell, Andrew",1726-1809.,13
"Bell, Andrew",1753-1832.,13
"Bell, Benjamin",1749-1806.,15
"Bell, Charles, Sir",1774-1842.,0
"Bell, George Joseph",1770-1843.,19
"Bell, John",1691-1780.,30
"Bell, John",1763-1820.,30
"Bennet, George",1750-1835.,0
"Bethune, John",1725-1774.,5
"Binning, William",1710-1791.,0
"Bisset, Charles",1717-1791.,0
"Bisset, John",1692-1756.,0
"Black, Joseph",1728-1799.,2
"Blacklock, Thomas",1721-1791.,0
"Blackwell, Thomas",1701-1757.,0
"Blackwood, Adam",1539-1613.,0
"Blair, Hugh",1718-1800.,20
"Blair, Robert",1593-1666.,20
"Blair, Robert",1699-1746.,20
"Blair, Robt. (Robert)",1741-1811.,0
"Blane, Gilbert, Sir",1749-1834.,0
"Bogue, David",1750-1825.,1
"Bonar, John",1722-1761.,0
"Boston, Thomas",1677-1732.,44
"Boston, Thomas",1713-1767.,44
"Boswell, Alexander, Sir",1775-1822.,1
"Boswell, James",1740-1795.,5
"Bower, Archibald",1686-1766.,0
"Boyd, Robert",1578-1627.,2
"Boyer, Abel",1667-1729.,4
"Boyle, David",1772-1853.,1
